0,0000000000000000  0,0000000000000000  0,0000000000000000  0,0000000000000000  0,0000000000000000  0,0000000000000000  0,6731738073487220  0,0000000000000000  -0,4999028742263520  -0,9219411117851118  = 0,9343139920155453
0,0000000000000000  0,0000000000000000  0,0000000000000000  0,0000000000000000  0,0000000000000000  0,0000000000000000  -0,3605232180770260  -0,4361538474353900  -0,3343342348794020  -0,9449020858576746  = 0,7334193232574656
0,0000000000000000  0,0000000000000000  0,0000000000000000  0,0000000000000000  0,0000000000000000  0,0000000000000000  -0,9352308567712820  0,5090540306592260  0,6364217940453340  0,0000000000000000  = 0,0285024485079161
0,0000000000000000  0,0000000000000000  0,0000000000000000  0,0000000000000000  0,0000000000000000  0,0156659318612820  0,4204231849621500  0,2110345220216760  0,0000000000000000  0,0000000000000000  = 0,0587751345253486
0,0000000000000000  0,0000000000000000  0,0000000000000000  0,0000000000000000  -0,4567215108416640  0,7351438054312920  -0,2401950614961480  0,0000000000000000  0,0000000000000000  0,0000000000000000  = 0,1011288381674983
0,0000000000000000  0,0000000000000000  0,0000000000000000  -0,5974954717503700  -0,6521606924730080  0,3427683492425840  0,7361276348144560  0,0000000000000000  0,0000000000000000  0,0000000000000000  = -0,1807675297039529
0,0000000000000000  0,0000000000000000  0,8748694441523440  -0,3371238283280680  0,8415220355431560  0,0000000000000000  0,4817590734029660  0,0000000000000000  0,0000000000000000  0,0000000000000000  = 1,1726210899014305
0,0000000000000000  0,4787924954239520  0,9649146786756240  0,3934537227752140  0,0000000000000000  0,0000000000000000  0,2200245865960560  0,0000000000000000  0,0000000000000000  0,0000000000000000  = 0,0191142143886577
0,7334625201034160  0,3416367803659820  -0,6978752690866740  0,0000000000000000  0,0000000000000000  0,0000000000000000  -0,5925597461988120  0,0000000000000000  0,0000000000000000  0,0000000000000000  = -0,1586459747545165
0,1312321774812680  0,0171308592021580  0,0000000000000000  0,0000000000000000  0,0000000000000000  0,0000000000000000  -0,8475002153258192  0,0000000000000000  0,0000000000000000  0,0000000000000000  = 0,2299697286113647

